condition,channel,p_bar,H_bits,Srel,Iacc
imagereward,hpsv2,0.47164025675656057,0.9677523152376011,0.009570792318560386,0.9368915013340734
imagereward,imagereward,0.46590282304821773,0.9539516361608996,0.018153335185508004,0.9264304831393503
imagereward,ir_ps_combined,0.44106536766172233,0.9646830127395158,0.012648800465655793,0.9271675251476467
imagereward,pickscore,0.4162279122752269,0.9481867376068118,0.010286368306400864,0.9036591198908163
ir_ps,hpsv2,0.48010100708635406,0.9675296247257259,0.010867512630922739,0.9497007808052457
ir_ps,imagereward,0.4843661973509521,0.9520571509659168,0.01922297569994349,0.9403946889323052
ir_ps,ir_ps_combined,0.4542735426260881,0.9635753460109118,0.013897786939043555,0.9335022061111508
ir_ps,pickscore,0.4241808879012242,0.9533273187385042,0.012444520719651572,0.8712974502096564
no_rl,hpsv2,0.4570568473748328,0.9531639990580538,0.006551791969575431,0.927646110948757
no_rl,imagereward,0.47400976914869897,0.9292395671984017,0.011558543798686146,0.9128717654661112
no_rl,ir_ps_combined,0.43602089588532855,0.9400106636619476,0.006740445915118463,0.9081771829327414
no_rl,pickscore,0.39803202262195814,0.9304481849395312,0.0045923537545188384,0.8815448344536334
pickscore,hpsv2,0.4799718670456742,0.9614651307952453,0.011933355853016806,0.9380231002235281
pickscore,imagereward,0.48356832542508543,0.9543443270411798,0.020414355068244537,0.9174250354169283
pickscore,ir_ps_combined,0.4525582356741416,0.9596960835519924,0.014793568231447191,0.9088029924851758
pickscore,pickscore,0.42154814592319767,0.9453601704314625,0.012620133976684008,0.9063640049540573
