condition,reward_left,reward_right,pearson_r
no_rl,imagereward,imagereward,1.0
no_rl,imagereward,pickscore,0.7982774945400267
no_rl,imagereward,hpsv2,0.8613856249302908
no_rl,pickscore,imagereward,0.7982774945400267
no_rl,pickscore,pickscore,1.0
no_rl,pickscore,hpsv2,0.8447140163317693
no_rl,hpsv2,imagereward,0.8613856249302908
no_rl,hpsv2,pickscore,0.8447140163317693
no_rl,hpsv2,hpsv2,1.0
imagereward,imagereward,imagereward,1.0
imagereward,imagereward,pickscore,0.7870710225957489
imagereward,imagereward,hpsv2,0.8599774077633153
imagereward,pickscore,imagereward,0.7870710225957489
imagereward,pickscore,pickscore,1.0
imagereward,pickscore,hpsv2,0.8587389956747624
imagereward,hpsv2,imagereward,0.8599774077633153
imagereward,hpsv2,pickscore,0.8587389956747624
imagereward,hpsv2,hpsv2,1.0
pickscore,imagereward,imagereward,1.0
pickscore,imagereward,pickscore,0.7959835576593901
pickscore,imagereward,hpsv2,0.8654226231073064
pickscore,pickscore,imagereward,0.7959835576593901
pickscore,pickscore,pickscore,1.0
pickscore,pickscore,hpsv2,0.8604694673916387
pickscore,hpsv2,imagereward,0.8654226231073064
pickscore,hpsv2,pickscore,0.8604694673916387
pickscore,hpsv2,hpsv2,1.0
ir_ps,imagereward,imagereward,1.0
ir_ps,imagereward,pickscore,0.8010129105168046
ir_ps,imagereward,hpsv2,0.8630339138482532
ir_ps,pickscore,imagereward,0.8010129105168046
ir_ps,pickscore,pickscore,1.0
ir_ps,pickscore,hpsv2,0.8513900804759597
ir_ps,hpsv2,imagereward,0.8630339138482532
ir_ps,hpsv2,pickscore,0.8513900804759597
ir_ps,hpsv2,hpsv2,1.0
