asset,source,bytes,note
assets/poster/rlvr_distributional_shrinkage_poster.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/poster_final_40row/rlvr_distributional_shrinkage_poster.png,1113135,Final poster PNG
assets/poster/rlvr_distributional_shrinkage_poster.pdf,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/poster_final_40row/rlvr_distributional_shrinkage_poster.pdf,462021,Final poster PDF
assets/poster/rlvr_story_overview.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/rlvr_story_overview.png,810560,Six-panel story overview
assets/figures/geometry40/bounded_information_budget.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/figures/bounded_information_budget.png,89170,Bounded verifier information per source
assets/figures/geometry40/information_vs_self_gain.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/figures/information_vs_self_gain.png,100834,Verifier information vs self gain
assets/figures/geometry40/diag_vs_offdiag_transfer_histogram.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/figures/diag_vs_offdiag_transfer_histogram.png,56959,Diagonal/self transfer vs off-diagonal transfer
assets/figures/geometry40/additivity_summary_bars.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/figures/additivity_summary_bars.png,55649,Additivity summary bars
assets/figures/geometry40/correct_rollout_action_entropy_trajectories.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/figures/correct_rollout_action_entropy_trajectories.png,292323,Correct-rollout action entropy trajectories
assets/figures/geometry40/correct_rollout_support.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/figures/correct_rollout_support.png,91450,Support counts for correct-only entropy
assets/figures/geometry40/action_entropy_shrinkage_trajectories.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/figures/action_entropy_shrinkage_trajectories.png,230989,All/correct/incorrect action entropy trajectories
assets/figures/geometry40/action_entropy_shrinkage_vs_training_gain.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/figures/action_entropy_shrinkage_vs_training_gain.png,81882,Action entropy shrink vs training gain
assets/figures/geometry40/directed_edges.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/figures/directed_edges.png,529526,Directed transfer graph
assets/figures/geometry40/cluster_heatmap.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/figures/cluster_heatmap.png,91870,Cluster-sorted transfer heatmap
assets/figures/geometry40/seed_geometry_sharpness_embedding.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/figures/seed_geometry_sharpness_embedding.png,174306,Transfer fingerprint seed embedding
assets/figures/geometry40/anchor_knn_graph.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/figures/anchor_knn_graph.png,421065,Anchor-transfer kNN graph
assets/figures/geometry40/anchor_embedding.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/figures/anchor_embedding.png,108036,Anchor-transfer embedding
assets/figures/geometry40/svd_spectrum.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/story_assets_40row/figures/svd_spectrum.png,78343,Transfer matrix SVD spectrum
assets/figures/geometry40/geometry40_self_gain_by_problem.png,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/figures/dapo17k/geometry40/geometry40_self_gain_by_problem.png,88058,Per-problem self gain
assets/figures/geometry40/geometry40_pass_rate_before_after_by_problem.png,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/figures/dapo17k/geometry40/geometry40_pass_rate_before_after_by_problem.png,171041,Per-problem before/after pass rate
assets/figures/geometry40/geometry40_transfer_in_out_by_problem.png,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/figures/dapo17k/geometry40/geometry40_transfer_in_out_by_problem.png,115610,TransferIn/TransferOut bars
assets/figures/geometry40/geometry40_info_budget_vs_self_gain.png,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/figures/dapo17k/geometry40/geometry40_info_budget_vs_self_gain.png,100849,Information budget vs per-problem self gain
assets/figures/dapo17k_sweep/H_heatmap.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo17k_infogain_dashboard_latest/H_heatmap.png,104813,Dapo17k H heatmap
assets/figures/dapo17k_sweep/action_entropy_per_token_heatmap.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo17k_infogain_dashboard_latest/action_entropy_per_token_heatmap.png,107104,Dapo17k action entropy heatmap
assets/figures/dapo17k_sweep/completed_problem_H_p_action_entropy_subplots_latest.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo17k_infogain_dashboard_latest/completed_problem_H_p_action_entropy_subplots_latest.png,2354250,Completed problem H/p/action entropy subplots
assets/figures/dapo17k_sweep/initial_final_relationships.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo17k_infogain_dashboard_latest/initial_final_relationships.png,129978,Initial/final relationships
assets/figures/dapo17k_sweep/sweep_curves.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo17k_infogain_dashboard_latest/sweep_curves.png,239960,Dapo17k sweep curves
assets/figures/dapo17k_sweep/valid_subplots_overview_latest.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo17k_infogain_dashboard_latest/valid_subplots_overview_latest.png,6075337,Valid subplots overview
assets/figures/pair10/pair_Hdmaxp_cumulative_dynamics_20260527.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo17k_infogain_dashboard_latest/pair_Hdmaxp_cumulative_dynamics_20260527.png,184066,Pair cumulative dynamics
assets/figures/pair10/pair_Hdmaxp_subadditivity_bar_20260527.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo17k_infogain_dashboard_latest/pair_Hdmaxp_subadditivity_bar_20260527.png,87687,Pair subadditivity bar
assets/figures/pair10/pair_Hdp_per_question_delta_20260527.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo17k_infogain_dashboard_latest/pair_Hdp_per_question_delta_20260527.png,79282,Per-question pair delta
assets/figures/pair10/pair_Hsum_Hdp_dynamics_20260527.png,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo17k_infogain_dashboard_latest/pair_Hsum_Hdp_dynamics_20260527.png,596683,Pair Hsum/Hdp dynamics
