kind,category,source_root,source_path,copied_path,relative_in_source,size_bytes
figures,dapo17k_sweep,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s128-lr1e5-t10-hs10-20260525,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s128-lr1e5-t10-hs10-20260525/single_question_sweep/aggregate/sweep_curves.png,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/artifacts/rlvr_existing_figures_tables_20260607/figures/dapo17k_sweep/dapo-r32-p011-s128-lr1e5-t10-hs10-20260525/single_question_sweep/aggregate/sweep_curves.png,single_question_sweep/aggregate/sweep_curves.png,258862
figures,dapo17k_sweep,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s128-lr3e6-t07-hs10-20260525,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s128-lr3e6-t07-hs10-20260525/single_question_sweep/aggregate/sweep_curves.png,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/artifacts/rlvr_existing_figures_tables_20260607/figures/dapo17k_sweep/dapo-r32-p011-s128-lr3e6-t07-hs10-20260525/single_question_sweep/aggregate/sweep_curves.png,single_question_sweep/aggregate/sweep_curves.png,242304
figures,dapo17k_sweep,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s128-lr5e6-t07-hs10-20260525,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s128-lr5e6-t07-hs10-20260525/single_question_sweep/aggregate/sweep_curves.png,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/artifacts/rlvr_existing_figures_tables_20260607/figures/dapo17k_sweep/dapo-r32-p011-s128-lr5e6-t07-hs10-20260525/single_question_sweep/aggregate/sweep_curves.png,single_question_sweep/aggregate/sweep_curves.png,236354
figures,dapo17k_sweep,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s128-lr5e6-t10-hs10-20260525,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s128-lr5e6-t10-hs10-20260525/single_question_sweep/aggregate/sweep_curves.png,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/artifacts/rlvr_existing_figures_tables_20260607/figures/dapo17k_sweep/dapo-r32-p011-s128-lr5e6-t10-hs10-20260525/single_question_sweep/aggregate/sweep_curves.png,single_question_sweep/aggregate/sweep_curves.png,230551
figures,dapo17k_sweep,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s50-best-r64-repA-20260526,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s50-best-r64-repA-20260526/single_question_sweep/aggregate/sweep_curves.png,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/artifacts/rlvr_existing_figures_tables_20260607/figures/dapo17k_sweep/dapo-r32-p011-s50-best-r64-repA-20260526/single_question_sweep/aggregate/sweep_curves.png,single_question_sweep/aggregate/sweep_curves.png,221073
figures,dapo17k_sweep,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s50-best-r64-repB-20260526,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s50-best-r64-repB-20260526/single_question_sweep/aggregate/sweep_curves.png,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/artifacts/rlvr_existing_figures_tables_20260607/figures/dapo17k_sweep/dapo-r32-p011-s50-best-r64-repB-20260526/single_question_sweep/aggregate/sweep_curves.png,single_question_sweep/aggregate/sweep_curves.png,225596
figures,dapo17k_sweep,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s50-best-r64-repC-20260526,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s50-best-r64-repC-20260526/single_question_sweep/aggregate/sweep_curves.png,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/artifacts/rlvr_existing_figures_tables_20260607/figures/dapo17k_sweep/dapo-r32-p011-s50-best-r64-repC-20260526/single_question_sweep/aggregate/sweep_curves.png,single_question_sweep/aggregate/sweep_curves.png,219328
figures,dapo17k_sweep,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s50-lr1e5-t07-r64-full5-20260526,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s50-lr1e5-t07-r64-full5-20260526/single_question_sweep/aggregate/sweep_curves.png,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/artifacts/rlvr_existing_figures_tables_20260607/figures/dapo17k_sweep/dapo-r32-p011-s50-lr1e5-t07-r64-full5-20260526/single_question_sweep/aggregate/sweep_curves.png,single_question_sweep/aggregate/sweep_curves.png,202469
figures,dapo17k_sweep,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s50-lr2e5-t07-r64-full5-20260526,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s50-lr2e5-t07-r64-full5-20260526/single_question_sweep/aggregate/sweep_curves.png,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/artifacts/rlvr_existing_figures_tables_20260607/figures/dapo17k_sweep/dapo-r32-p011-s50-lr2e5-t07-r64-full5-20260526/single_question_sweep/aggregate/sweep_curves.png,single_question_sweep/aggregate/sweep_curves.png,212298
figures,dapo17k_sweep,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s50-lr5e6-t07-r32-full5-20260526,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/dapo-r32-p011-s50-lr5e6-t07-r32-full5-20260526/single_question_sweep/aggregate/sweep_curves.png,/mnt/shared-storage-user/sunyoubang/kaisen/infomation-bottleneck-rlvr-paper/artifacts/rlvr_existing_figures_tables_20260607/figures/dapo17k_sweep/dapo-r32-p011-s50-lr5e6-t07-r32-full5-20260526/single_question_sweep/aggregate/sweep_curves.png,single_question_sweep/aggregate/sweep_curves.png,215775
