problem_id,initial_step,initial_p,initial_H_nats,initial_I_nats,initial_action_entropy_per_token,initial_action_entropy_seq_cumulative,final_step,final_p,final_H_nats,final_I_nats,final_action_entropy_per_token,final_action_entropy_seq_cumulative,run_status,early_stop_reason,early_stop_step,early_stop_best_rollout_acc_p
0,1,0.9375,0.2337916587064593,0.2337916587064593,0.3274655437562614,8.221307396888733,9,1.0,0.0,0.3728524571612004,0.2240246910077985,3.8084197640419006,early_stop_high_success,high_success,9.0,1.0
1,1,0.75,0.5623351446188083,0.5623351446188083,0.3583847340196371,13.961939096450806,14,1.0,0.0,1.3892952591418353,0.5044382665946614,3.5310678482055664,early_stop_high_success,high_success,14.0,1.0
2,1,0.0,0.0,0.0,0.584844185039401,37.43002784252167,10,0.0,0.0,0.0,0.6274139015004039,40.15448969602585,early_stop_low_success,low_success,10.0,0.0
3,1,0.0,0.0,0.0,0.6544779874384403,41.88659119606018,10,0.0,0.0,0.0,0.6490915035828948,41.54185622930527,early_stop_low_success,low_success,10.0,0.0
4,1,0.0,0.0,0.0,0.5064188558608294,32.41080677509308,10,0.0,0.0,0.0,0.5326122464612126,34.08718377351761,early_stop_low_success,low_success,10.0,0.0
5,1,0.78125,0.5253213195155949,0.5253213195155949,0.4717636969871819,17.18798041343689,11,1.0,0.0,1.0372345751315366,0.5037711338954978,3.082888245582581,early_stop_high_success,high_success,11.0,1.0
6,1,0.5625,0.6853142072764582,0.6853142072764582,0.3597143981605768,18.32609742879868,14,1.0,0.0,3.0500997722463072,0.3106038033147342,2.29512232542038,early_stop_high_success,high_success,14.0,1.0
7,1,0.0,0.0,0.0,0.6268191002309322,40.11642241477966,10,0.0,0.0,0.0,0.6145078800618649,39.32850432395935,early_stop_low_success,low_success,10.0,0.0
8,1,0.0,0.0,0.0,0.6465521333739161,41.37933653593063,10,0.0,0.0,0.0,0.6656200485303998,42.59968310594559,early_stop_low_success,low_success,10.0,0.0
9,1,0.0,0.0,0.0,0.4927109889686107,31.53350329399109,10,0.0,0.0,0.0,0.5133593548089266,32.8549987077713,early_stop_low_success,low_success,10.0,0.0
10,1,0.875,0.3767701612564367,0.3767701612564367,0.4020151579752564,12.416205525398254,9,1.0,0.0,0.5158309597111779,0.2347784647135995,1.4110475182533264,early_stop_high_success,high_success,9.0,1.0
11,1,0.1875,0.482577565177012,0.482577565177012,0.4970088615082204,29.818824350833893,26,1.0,0.0,2.1652135386700504,0.6237654944088717,4.366358458995819,early_stop_high_success,high_success,26.0,1.0
12,1,0.0,0.0,0.0,0.5723115634173155,36.62794005870819,10,0.0,0.0,0.0,0.5889878747984767,37.69522398710251,early_stop_low_success,low_success,10.0,0.0
13,1,0.0,0.0,0.0,0.6709081521257758,42.93812173604965,10,0.0,0.0,0.0,0.7027445733547211,44.97565269470215,early_stop_low_success,low_success,10.0,0.0
14,1,0.0,0.0,0.0,0.5208967803046107,33.33739393949509,10,0.0,0.0,0.0,0.4865170316770673,31.137090027332302,early_stop_low_success,low_success,10.0,0.0
15,1,0.6875,0.6210863745552451,0.6210863745552451,0.4317915004212409,17.818885564804077,27,1.0,0.0,2.0951028390537187,0.2263408557628281,2.2634085416793823,early_stop_high_success,high_success,27.0,1.0
16,1,0.28125,0.5941300227248385,0.5941300227248385,0.4261010761838406,24.8983137011528,50,1.0,0.0,13.35447329891838,0.3925871216670202,2.748109877109528,completed,,,
17,1,0.0,0.0,0.0,0.6019386444240808,38.52407324314117,10,0.0,0.0,0.0,0.6158161228522658,39.41223186254501,early_stop_low_success,low_success,10.0,0.0
18,1,0.0,0.0,0.0,0.5642786240205169,36.11383193731308,10,0.0,0.0,0.0,0.5803128415718675,37.14002186059952,early_stop_low_success,low_success,10.0,0.0
19,1,0.0,0.0,0.0,0.5101698338985443,32.65086936950684,10,0.0,0.0,0.0,0.5303476033732295,33.94224661588669,early_stop_low_success,low_success,10.0,0.0
20,1,0.6875,0.6210863745552451,0.6210863745552451,0.4318026942200959,17.549861311912537,23,1.0,0.0,2.004289682897237,0.6218501247603854,4.352950870990753,early_stop_high_success,high_success,23.0,1.0
21,1,0.625,0.6615632381579821,0.6615632381579821,0.3797107641585171,17.03047901391983,12,1.0,0.0,1.1734764937739235,0.3345092663075775,2.859385311603546,early_stop_high_success,high_success,12.0,1.0
22,1,0.0,0.0,0.0,0.5798912821337581,37.11304205656052,10,0.0,0.0,0.0,0.5943207694217563,38.0365292429924,early_stop_low_success,low_success,10.0,0.0
23,1,0.0,0.0,0.0,0.7085939701646566,45.350014090538025,10,0.0,0.0,0.0,0.6979469433426857,44.668604373931885,early_stop_low_success,low_success,10.0,0.0
24,1,0.0,0.0,0.0,0.4784984560683369,30.62390118837357,10,0.0,0.0,0.0,0.4877188419923186,31.214005887508392,early_stop_low_success,low_success,10.0,0.0
25,1,0.84375,0.4333988732907457,0.4333988732907457,0.3667572571430355,13.19478052854538,23,1.0,0.0,5.195547677427759,0.2751781424740329,2.1018251180648804,early_stop_high_success,high_success,23.0,1.0
26,1,0.53125,0.6911927820032008,0.6911927820032008,0.4117948152124882,20.534105002880096,22,1.0,0.0,1.6202884329833658,0.2834231854503741,1.9839622974395752,early_stop_high_success,high_success,22.0,1.0
27,1,0.0,0.0,0.0,0.6192593816667795,39.63260042667389,10,0.0,0.0,0.0,0.6269611585885286,40.12551414966583,early_stop_low_success,low_success,10.0,0.0
28,1,0.0,0.0,0.0,0.6183646293357015,39.575336277484894,10,0.0,0.0,0.0,0.6155516700819135,39.39530688524246,early_stop_low_success,low_success,10.0,0.0
29,1,0.0,0.0,0.0,0.5042791636660695,32.27386647462845,10,0.0,0.0,0.0,0.5237773545086384,33.521750688552856,early_stop_low_success,low_success,10.0,0.0
30,1,0.6875,0.6210863745552451,0.6210863745552451,0.4196259067393839,19.4436154961586,50,0.96875,0.1390607984547411,18.024201894435397,0.1372070877896476,5.718306541442871,completed,,,
31,1,0.84375,0.4333988732907457,0.4333988732907457,0.3739623404107988,13.273975253105164,23,1.0,0.0,1.8300778416838293,0.1481201188871637,1.0619484186172483,early_stop_high_success,high_success,23.0,1.0
32,1,0.0,0.0,0.0,0.6402146741747856,40.97373914718628,10,0.0,0.0,0.0,0.6433149743825197,41.17215836048126,early_stop_low_success,low_success,10.0,0.0
33,1,0.0,0.0,0.0,0.6896045776084065,44.13469296693802,10,0.0,0.0,0.0,0.6921083265915513,44.29493290185928,early_stop_low_success,low_success,10.0,0.0
34,1,0.0,0.0,0.0,0.5051304511725903,32.328348875045776,10,0.0,0.0,0.0,0.5100371222943068,32.64237582683563,early_stop_low_success,low_success,10.0,0.0
35,1,0.625,0.6615632381579821,0.6615632381579821,0.4218728747218847,19.767241656780243,9,1.0,0.0,1.345544850131032,0.4053207819815725,2.8835217356681824,early_stop_high_success,high_success,9.0,1.0
36,1,0.625,0.6615632381579821,0.6615632381579821,0.3825952913612127,17.24618411064148,28,1.0,0.0,4.841841694692202,0.7363321527809603,5.242920935153961,early_stop_high_success,high_success,28.0,1.0
37,1,0.0,0.0,0.0,0.6192636573687196,39.63287407159805,10,0.0,0.0,0.0,0.6059934161603451,38.783578634262085,early_stop_low_success,low_success,10.0,0.0
38,1,0.0,0.0,0.0,0.5923282643780112,37.90900892019272,10,0.0,0.0,0.0,0.6206042217090726,39.718670189380646,early_stop_low_success,low_success,10.0,0.0
39,1,0.0,0.0,0.0,0.5063369646668434,32.40556573867798,10,0.0,0.0,0.0,0.5032801823690534,32.209931671619415,early_stop_low_success,low_success,10.0,0.0
40,1,0.75,0.5623351446188083,0.5623351446188083,0.3713880826253444,14.16022664308548,9,1.0,0.0,1.0125250978853986,0.1673372711520642,4.020641207695007,early_stop_high_success,high_success,9.0,1.0
41,1,0.59375,0.6754645824509031,0.6754645824509031,0.4110876121558249,19.15731638669968,9,1.0,0.0,1.3594461944239529,0.1801299878861755,3.8360888361930847,early_stop_high_success,high_success,9.0,1.0
42,1,0.0,0.0,0.0,0.5793544305488467,37.07868355512619,10,0.0,0.0,0.0,0.6013396410271525,38.48573702573776,early_stop_low_success,low_success,10.0,0.0
43,1,0.0,0.0,0.0,0.6899848524481058,44.15903055667877,10,0.0,0.0,0.0,0.6944924425333738,44.447516322135925,early_stop_low_success,low_success,10.0,0.0
44,1,0.0,0.0,0.0,0.5207920437678695,33.330690801143646,10,0.0,0.0,0.0,0.4908761819824576,31.41607564687729,early_stop_low_success,low_success,10.0,0.0
45,1,0.5,0.6931471805599453,0.6931471805599453,0.4260838190093636,20.929807484149933,9,1.0,0.0,0.9269388392664046,0.6555534928338602,4.6097372174263,early_stop_high_success,high_success,9.0,1.0
46,1,0.375,0.6615632381579821,0.6615632381579821,0.4282024120911956,22.493357837200165,17,1.0,0.0,1.667996385243537,0.2378521511564031,4.324402987957001,early_stop_high_success,high_success,17.0,1.0
47,1,0.0,0.0,0.0,0.5875784074887633,37.60501807928085,10,0.0,0.0,0.0,0.5790513148531318,37.05928415060043,early_stop_low_success,low_success,10.0,0.0
48,1,0.0,0.0,0.0,0.616694388911128,39.4684408903122,10,0.0,0.0,0.0,0.5999473594129086,38.39663100242615,early_stop_low_success,low_success,10.0,0.0
49,1,0.0,0.0,0.0,0.4679718343541026,29.950197398662567,10,0.0,0.0,0.0,0.5016003297641873,32.10242110490799,early_stop_low_success,low_success,10.0,0.0
50,1,0.59375,0.6754645824509031,0.6754645824509031,0.411614324664697,18.610421240329742,50,0.9375,0.2337916587064593,10.209961439272622,0.0839907590998336,1.926932454109192,completed,,,
51,1,0.71875,0.5941300227248385,0.5941300227248385,0.3610573671758175,14.670171558856964,15,1.0,0.0,1.851748192663181,0.0195959468235287,0.1371716260910034,early_stop_high_success,high_success,15.0,1.0
52,1,0.0,0.0,0.0,0.6250166296958923,40.00106430053711,10,0.0,0.0,0.0,0.6002347720786929,38.415025413036346,early_stop_low_success,low_success,10.0,0.0
53,1,0.0,0.0,0.0,0.6618191180750728,42.35642355680466,10,0.0,0.0,0.0,0.7000064933672547,44.8004155755043,early_stop_low_success,low_success,10.0,0.0
54,1,0.0,0.0,0.0,0.5040483633056283,32.25909525156021,10,0.0,0.0,0.0,0.5349538959562778,34.23704934120178,early_stop_low_success,low_success,10.0,0.0
55,1,0.625,0.6615632381579821,0.6615632381579821,0.4135065593291074,19.347352921962734,11,1.0,0.0,1.345544850131032,0.1907962980912998,4.0580286383628845,early_stop_high_success,high_success,11.0,1.0
56,1,0.46875,0.6911927820032008,0.6911927820032008,0.3820608619134873,19.0210177898407,50,1.0,0.0,13.44065014111476,0.0418975410671831,1.17314350605011,completed,,,
57,1,0.0,0.0,0.0,0.6173040233552456,39.50745749473572,10,0.0,0.0,0.0,0.6551302010193467,41.92833286523819,early_stop_low_success,low_success,10.0,0.0
58,1,0.0,0.0,0.0,0.649334080517292,41.55738115310669,10,0.0,0.0,0.0,0.6075374260544777,38.88239526748657,early_stop_low_success,low_success,10.0,0.0
59,1,0.0,0.0,0.0,0.5247754072770476,33.58562606573105,10,0.0,0.0,0.0,0.4927269583567977,31.53452533483505,early_stop_low_success,low_success,10.0,0.0
60,1,0.625,0.6615632381579821,0.6615632381579821,0.3971138405613601,17.805109977722168,13,1.0,0.0,1.0787456335222056,0.5575552934315056,4.030074715614319,early_stop_high_success,high_success,13.0,1.0
61,1,0.6875,0.6210863745552451,0.6210863745552451,0.3741279579699039,15.172471582889557,9,1.0,0.0,0.7601471730099862,0.154689108079765,1.0828237533569336,early_stop_high_success,high_success,9.0,1.0
62,1,0.0,0.0,0.0,0.6260715387761593,40.068578481674194,10,0.0,0.0,0.0,0.6166062438860536,39.46279960870743,early_stop_low_success,low_success,10.0,0.0
63,1,0.0,0.0,0.0,0.7020859569311142,44.93350124359131,10,0.0,0.0,0.0,0.6950547397136688,44.483503341674805,early_stop_low_success,low_success,10.0,0.0
64,1,0.0,0.0,0.0,0.5341438353061676,34.18520545959473,10,0.0,0.0,0.0,0.5386333782225847,34.47253620624542,early_stop_low_success,low_success,10.0,0.0
65,1,0.53125,0.6911927820032008,0.6911927820032008,0.4374939522240311,21.889292657375336,50,0.84375,0.4333988732907457,16.035910426210563,0.0434148638905043,0.3169280290603637,completed,,,
66,1,0.34375,0.6434915530192904,0.6434915530192904,0.4673615368083119,23.851763248443604,16,1.0,0.0,1.9329255680178348,0.3314297708129743,2.320008397102356,early_stop_high_success,high_success,16.0,1.0
67,1,0.0,0.0,0.0,0.5778014082461596,36.97929012775421,10,0.0,0.0,0.0,0.5975540531799197,38.24345940351486,early_stop_low_success,low_success,10.0,0.0
68,1,0.0,0.0,0.0,0.6520888144150376,41.73368412256241,10,0.0,0.0,0.0,0.637163826264441,40.77848488092423,early_stop_low_success,low_success,10.0,0.0
69,1,0.0,0.0,0.0,0.4939533676952123,31.61301553249359,10,0.0,0.0,0.0,0.5225474890321493,33.44303929805756,early_stop_low_success,low_success,10.0,0.0
70,1,0.4375,0.6853142072764582,0.6853142072764582,0.4317001451272517,22.449636459350582,15,1.0,0.0,1.7091407185083414,0.6157585084438324,4.310309588909149,early_stop_high_success,high_success,15.0,1.0
71,1,0.75,0.5623351446188083,0.5623351446188083,0.3605695297010243,13.938147366046906,21,1.0,0.0,2.125011485523328,0.1012802635668776,0.7089618444442749,early_stop_high_success,high_success,21.0,1.0
72,1,0.0,0.0,0.0,0.5720112640410662,36.60872089862824,10,0.0,0.0,0.0,0.549188444390893,35.14806044101715,early_stop_low_success,low_success,10.0,0.0
73,1,0.0,0.0,0.0,0.6937392903491855,44.39931458234787,10,0.0,0.0,0.0,0.6846666121855378,43.81866317987442,early_stop_low_success,low_success,10.0,0.0
74,1,0.0,0.0,0.0,0.5046668453142047,32.2986781001091,10,0.0,0.0,0.0,0.5177375860512257,33.13520550727844,early_stop_low_success,low_success,10.0,0.0
75,1,0.46875,0.6911927820032008,0.6911927820032008,0.4352793607395142,22.27174961566925,10,1.0,0.0,1.2031060376191425,0.2543853767565451,5.371225595474243,early_stop_high_success,high_success,10.0,1.0
76,1,0.75,0.5623351446188083,0.5623351446188083,0.353219375712797,14.100939750671388,9,1.0,0.0,1.5898335233141287,0.4687409768812358,3.7050675749778743,early_stop_high_success,high_success,9.0,1.0
77,1,0.0,0.0,0.0,0.5628250790759921,36.020805060863495,10,0.0,0.0,0.0,0.5750001324340701,36.80000847578049,early_stop_low_success,low_success,10.0,0.0
78,1,0.0,0.0,0.0,0.6041298042982817,38.66430747509003,10,0.0,0.0,0.0,0.6260171020403504,40.06509453058243,early_stop_low_success,low_success,10.0,0.0
79,1,0.0,0.0,0.0,0.5179381100460887,33.14803904294968,10,0.0,0.0,0.0,0.4931476637721061,31.561450481414795,early_stop_low_success,low_success,10.0,0.0
80,1,0.34375,0.6434915530192904,0.6434915530192904,0.4775530199985951,27.158095598220825,39,1.0,0.0,7.884133025255928,0.0573172700646296,0.4012773633003235,early_stop_high_success,high_success,39.0,1.0
81,1,0.4375,0.6853142072764582,0.6853142072764582,0.4427163926884532,22.818184733390808,50,0.0,0.0,1.858790701050382,0.2763277812628075,1.9342944622039795,completed,,,
82,1,0.0,0.0,0.0,0.6237715352326632,39.92137825489044,10,0.0,0.0,0.0,0.6404059091582894,40.98597818613053,early_stop_low_success,low_success,10.0,0.0
83,1,0.0,0.0,0.0,0.6803137771785259,43.54008173942566,10,0.0,0.0,0.0,0.6966115618124604,44.58313995599747,early_stop_low_success,low_success,10.0,0.0
84,1,0.0,0.0,0.0,0.5419265357777476,34.68329828977585,10,0.0,0.0,0.0,0.5344776595011353,34.20657020807266,early_stop_low_success,low_success,10.0,0.0
85,1,0.3125,0.6210863745552451,0.6210863745552451,0.4805033628363162,26.790607154369354,34,1.0,0.0,3.536111745649825,0.1108494397085451,0.7759460806846619,early_stop_high_success,high_success,34.0,1.0
86,1,0.71875,0.5941300227248385,0.5941300227248385,0.3736886261031031,14.190239608287811,10,1.0,0.0,0.9669824798860388,0.1014285254932474,0.709999680519104,early_stop_high_success,high_success,10.0,1.0
87,1,0.0,0.0,0.0,0.6258042315021157,40.05147081613541,10,0.0,0.0,0.0,0.6043616151437163,38.679143369197845,early_stop_low_success,low_success,10.0,0.0
88,1,0.0,0.0,0.0,0.6665641060099006,42.66010278463364,10,0.0,0.0,0.0,0.6661695428192616,42.63485074043274,early_stop_low_success,low_success,10.0,0.0
89,1,0.0,0.0,0.0,0.503380075097084,32.21632480621338,10,0.0,0.0,0.0,0.4988692943006754,31.927634835243225,early_stop_low_success,low_success,10.0,0.0
90,1,0.53125,0.6911927820032008,0.6911927820032008,0.4214600014965981,20.610703885555267,12,1.0,0.0,1.7480268511374508,0.0682352529838681,0.4776467680931091,early_stop_high_success,high_success,12.0,1.0
91,1,0.625,0.6615632381579821,0.6615632381579821,0.3861951406579464,17.045940458774567,9,1.0,0.0,0.8006240366127233,0.1651807623566128,1.160506010055542,early_stop_high_success,high_success,9.0,1.0
92,1,0.0,0.0,0.0,0.5723345996811986,36.62941437959671,10,0.0,0.0,0.0,0.5203599715605378,33.30303817987442,early_stop_low_success,low_success,10.0,0.0
93,1,0.0,0.0,0.0,0.6719858841970563,43.0070965886116,10,0.0,0.0,0.0,0.7047494063153863,45.10396200418472,early_stop_low_success,low_success,10.0,0.0
94,1,0.0,0.0,0.0,0.5021636672317982,32.13847470283508,10,0.0,0.0,0.0,0.514897015877068,32.953409016132355,early_stop_low_success,low_success,10.0,0.0
95,1,0.625,0.6615632381579821,0.6615632381579821,0.3904439299367368,18.726578295230865,15,1.0,0.0,1.2682073540256418,0.145121955050854,3.0475610494613647,early_stop_high_success,high_success,15.0,1.0
96,1,0.5625,0.6853142072764582,0.6853142072764582,0.4274978053290397,21.269450783729557,42,1.0,0.0,4.952001066417715,0.083032953505608,0.8303295373916626,early_stop_high_success,high_success,42.0,1.0
97,1,0.0,0.0,0.0,0.6496940329670906,41.5804181098938,10,0.0,0.0,0.0,0.6278110267594457,40.17990571260452,early_stop_low_success,low_success,10.0,0.0
98,1,0.0,0.0,0.0,0.5342799546197057,34.19391709566116,10,0.0,0.0,0.0,0.5549883618950844,35.5192551612854,early_stop_low_success,low_success,10.0,0.0
99,1,0.0,0.0,0.0,0.5001394469290972,32.00892460346222,10,0.0,0.0,0.0,0.5189833920449018,33.21493709087372,early_stop_low_success,low_success,10.0,0.0
100,1,0.59375,0.6754645824509031,0.6754645824509031,0.3994537147227675,20.26302045583725,11,1.0,0.0,1.3869850526511311,0.1758792200416792,3.693463623523712,early_stop_high_success,high_success,11.0,1.0
101,1,0.34375,0.6434915530192904,0.6434915530192904,0.3955505271442234,22.760935068130493,50,0.90625,0.3111291548118492,5.936830999240761,0.2304303735727444,1.637208342552185,completed,,,
102,1,0.0,0.0,0.0,0.5646636551246047,36.1384739279747,10,0.0,0.0,0.0,0.5896712495014071,37.73895996809006,early_stop_low_success,low_success,10.0,0.0
103,1,0.0,0.0,0.0,0.7098785946145654,45.43223005533218,10,0.0,0.0,0.0,0.6962635880336165,44.56086963415146,early_stop_low_success,low_success,10.0,0.0
104,1,0.0,0.0,0.0,0.4804713344201445,30.75016540288925,10,0.0,0.0,0.0,0.4918405981734395,31.477798283100128,early_stop_low_success,low_success,10.0,0.0
105,1,0.5,0.6931471805599453,0.6931471805599453,0.4139935008715838,20.89989799261093,42,1.0,0.0,4.784966253377295,0.070365224712674,1.4776697158813477,early_stop_high_success,high_success,42.0,1.0
106,1,0.65625,0.6434915530192904,0.6434915530192904,0.3551415987312794,16.949951469898224,16,1.0,0.0,1.199734746838255,0.4388676164962817,3.0720733404159546,early_stop_high_success,high_success,16.0,1.0
107,1,0.0,0.0,0.0,0.6386228846386075,40.87186461687088,10,0.0,0.0,0.0,0.609796553850174,39.02697944641113,early_stop_low_success,low_success,10.0,0.0
108,1,0.0,0.0,0.0,0.6585280252620578,42.1457936167717,10,0.0,0.0,0.0,0.6849902477115393,43.83937585353851,early_stop_low_success,low_success,10.0,0.0
109,1,0.0,0.0,0.0,0.5059640007093549,32.38169604539871,10,0.0,0.0,0.0,0.5094123193994164,32.60238844156265,early_stop_low_success,low_success,10.0,0.0
110,1,0.5,0.6931471805599453,0.6931471805599453,0.4374519013799727,22.174273312091827,14,1.0,0.0,1.1103295759241687,0.1796933697769418,3.797835171222687,early_stop_high_success,high_success,14.0,1.0
111,1,0.3125,0.6210863745552451,0.6210863745552451,0.455398220103234,25.065555095672607,9,1.0,0.0,1.480434100988694,0.0505897549446672,0.3558588624000549,early_stop_high_success,high_success,9.0,1.0
112,1,0.0,0.0,0.0,0.5804510749876499,37.1488687992096,10,0.0,0.0,0.0,0.604463073424995,38.68563669919968,early_stop_low_success,low_success,10.0,0.0
113,1,0.0,0.0,0.0,0.6895509017631412,44.13125771284104,10,0.0,0.0,0.0,0.6814602231606841,43.61345428228378,early_stop_low_success,low_success,10.0,0.0
114,1,0.0,0.0,0.0,0.4833174105733633,30.93231427669525,10,0.0,0.0,0.0,0.4950857562944293,31.685488402843475,early_stop_low_success,low_success,10.0,0.0
115,1,0.6875,0.6210863745552451,0.6210863745552451,0.3662059945054352,16.20200514793396,47,1.0,0.0,6.377516832045076,0.8321378999389708,5.8249653577804565,early_stop_high_success,high_success,47.0,1.0
116,1,0.4375,0.6853142072764582,0.6853142072764582,0.4184724288061261,23.11705893278122,33,1.0,0.0,2.8378435840727927,0.2111451906457659,1.5133211016654968,early_stop_high_success,high_success,33.0,1.0
117,1,0.0,0.0,0.0,0.5923184007406235,37.9083776473999,10,0.0,0.0,0.0,0.6007504584267735,38.44802933931351,early_stop_low_success,low_success,10.0,0.0
118,1,0.0,0.0,0.0,0.6589000904932618,42.16960579156876,10,0.0,0.0,0.0,0.6380992662161589,40.83835303783417,early_stop_low_success,low_success,10.0,0.0
