source_problem,step,p,verifier_uncertainty_bits,verifier_variance,action_entropy_per_token_nats,action_entropy_seq_cumulative_nats,correct_action_entropy_per_token_nats,correct_action_entropy_seq_cumulative_nats,incorrect_action_entropy_per_token_nats,incorrect_action_entropy_seq_cumulative_nats,rollout_count,correct_rollout_count,incorrect_rollout_count,valid_response_tokens_mean
1139,1,0.375,0.954434002924965,0.234375,0.19383050396572798,118.98307871818542,0.1784237946073214,109.98807144165039,0.20307452958077193,124.38008308410645,32,12,20,677.8125
1139,2,0.40625,0.9744894033980523,0.2412109375,0.1729580839164555,112.49539697170258,0.1752984976539245,114.08215537438026,0.17135674820134514,111.40972016987048,32,13,19,671.625
1139,3,0.4375,0.9886994082884974,0.24609375,0.16103869187645614,103.04993510246277,0.17198654796395982,108.57370104108539,0.1525236926972866,98.75367270575629,32,14,18,666.5625
1139,4,0.46875,0.9971803988942642,0.2490234375,0.1731841815635562,111.98404669761658,0.17529690364996592,104.9089569091797,0.1713200150167241,118.22677298153148,32,15,17,681.8125
1139,5,0.53125,0.9971803988942642,0.2490234375,0.16861653339583427,107.13093948364258,0.17002540520008871,101.00498558493221,0.1670198120176792,114.07368723551433,32,17,15,686.78125
1139,6,0.5625,0.9886994082884974,0.24609375,0.17414417956024408,110.89663791656494,0.19020075764920977,112.99234517415364,0.15350000773157393,108.20215715680804,32,18,14,658.46875
1139,7,0.6875,0.8960382325345574,0.21484375,0.18585493485443294,115.72185444831848,0.19333042509176515,119.84653819691052,0.1694088563323021,106.64755020141601,32,22,10,656.5
1139,8,0.5,1.0,0.25,0.16510530619416386,98.92055547237396,0.17505977069959044,101.0737521648407,0.15515084168873727,96.76735877990723,32,16,16,652.9375
1139,9,0.34375,0.9283620723948676,0.2255859375,0.16689333866816014,110.55063199996948,0.17583436315709894,113.80545043945312,0.1622099448882398,108.8457271030971,32,11,21,725.0
1139,10,0.375,0.954434002924965,0.234375,0.1731209303252399,110.60665130615234,0.1841606373588244,113.57966804504395,0.1664971061050892,108.82284126281738,32,12,20,677.40625
1139,11,0.65625,0.9283620723948676,0.2255859375,0.15711134113371372,105.75404286384583,0.15113793526376998,108.08358401343936,0.16851511597633362,101.30673703280362,32,21,11,696.65625
1139,12,0.625,0.954434002924965,0.234375,0.15969468071125448,113.28594875335693,0.15793811567127705,104.50271224975586,0.16262228911121687,127.92467625935872,32,20,12,784.90625
1139,13,0.5,1.0,0.25,0.1705548072932288,102.35188674926758,0.1662738649174571,102.90204334259033,0.1748357496690005,101.80173015594482,32,16,16,668.375
1139,14,0.4375,0.9886994082884974,0.24609375,0.16646906081587076,101.08485305309296,0.16655705496668816,101.04960414341518,0.16640062092079055,101.11226887173123,32,14,18,689.3125
1139,15,0.53125,0.9971803988942642,0.2490234375,0.1592606216436252,100.02614092826843,0.1704892323297613,106.66630464441636,0.1465348628660043,92.50062204996745,32,17,15,718.125
1139,16,0.46875,0.9971803988942642,0.2490234375,0.19358533876948059,116.41731691360474,0.17988676031430562,106.48106791178385,0.20567231975934086,125.18459544462316,32,15,17,652.25
11788,1,0.0,0.0,0.0,0.4144963414873928,283.2140645980835,0.0,0.0,0.4144963414873928,283.2140645980835,32,0,32,739.3125
11788,2,0.03125,0.20062232431271465,0.0302734375,0.3913422808982432,283.75786089897156,0.12301122397184372,112.18623352050781,0.39999812144425606,289.2924295240833,32,1,31,801.40625
11788,3,0.03125,0.20062232431271465,0.0302734375,0.46978786936961114,321.0406448841095,0.4186519384384155,251.191162109375,0.47143741552868196,323.2938540058751,32,1,31,752.34375
11788,4,0.0,0.0,0.0,0.4042645946610719,288.1647353172302,0.0,0.0,0.4042645946610719,288.1647353172302,32,0,32,783.59375
11788,5,0.0,0.0,0.0,0.3835381062235683,303.9423336982727,0.0,0.0,0.3835381062235683,303.9423336982727,32,0,32,864.15625
11788,6,0.0,0.0,0.0,0.36857798835262656,274.23888182640076,0.0,0.0,0.36857798835262656,274.23888182640076,32,0,32,814.53125
11788,7,0.0,0.0,0.0,0.2826339977327734,217.60529232025146,0.0,0.0,0.2826339977327734,217.60529232025146,32,0,32,858.09375
11788,8,0.0,0.0,0.0,0.5032793842256069,354.48527908325195,0.0,0.0,0.5032793842256069,354.48527908325195,32,0,32,723.6875
11788,9,0.03125,0.20062232431271465,0.0302734375,0.3330630138516426,240.58471632003784,0.32385703921318054,208.24008178710938,0.33335998077546397,241.62809162755167,32,1,31,844.40625
11788,10,0.0625,0.3372900666170139,0.05859375,0.43475342518649995,312.34583926200867,0.36926570534706116,264.47035217285156,0.43911927317579585,315.5375384012858,32,2,30,768.4375
11788,11,0.0,0.0,0.0,0.36991135543212295,282.87683367729187,0.0,0.0,0.36991135543212295,282.87683367729187,32,0,32,861.3125
11788,12,0.03125,0.20062232431271465,0.0302734375,0.4624952282756567,334.6664659976959,0.2567151188850403,254.91812133789062,0.4691332963205153,337.2389932447864,32,1,31,806.34375
11788,13,0.0625,0.3372900666170139,0.05859375,0.4320595161989331,306.12154150009155,0.22834748029708862,181.1506118774414,0.44564031859238945,314.45293680826825,32,2,30,782.65625
11788,14,0.0,0.0,0.0,0.4488830587361008,321.6826844215393,0.0,0.0,0.4488830587361008,321.6826844215393,32,0,32,769.6875
11788,15,0.0,0.0,0.0,0.5125182562042028,339.0846607685089,0.0,0.0,0.5125182562042028,339.0846607685089,32,0,32,718.34375
11788,16,0.0625,0.3372900666170139,0.05859375,0.41192935034632683,288.8945486545563,0.2815288007259369,176.82843017578125,0.4206227203210195,296.36562321980796,32,2,30,743.40625
12365,1,0.1875,0.6962122601251458,0.15234375,0.594939136877656,342.4181785583496,0.42212311923503876,260.28692626953125,0.6348197563336446,361.37154447115387,32,6,26,604.71875
12365,2,0.34375,0.9283620723948676,0.2255859375,0.4029843481257558,236.71087312698364,0.3883094801144166,240.9165607799183,0.41067118375074296,234.50789388020834,32,11,21,648.40625
12365,3,0.15625,0.6252624052234231,0.1318359375,0.44700409518554807,274.60229110717773,0.2511254012584686,166.69438629150392,0.4832779273942665,294.58523644341363,32,5,27,637.59375
12365,4,0.40625,0.9744894033980523,0.2412109375,0.40712425392121077,240.40531182289124,0.2933301513011639,186.12712860107422,0.484983376766506,277.5430161325555,32,13,19,641.78125
12365,5,0.28125,0.8571484374283715,0.2021484375,0.37697423389181495,239.37411189079285,0.31687644124031067,212.90487247043185,0.40049076145109924,249.73164035962975,32,9,23,671.78125
12365,6,0.46875,0.9971803988942642,0.2490234375,0.2917152242735028,184.66345930099487,0.22413940529028575,157.3927988688151,0.3513409469057532,208.7258067411535,32,15,17,708.5
12365,7,0.40625,0.9744894033980523,0.2412109375,0.3117290874943137,199.67897057533264,0.26059882801312667,172.3781973031851,0.3467129492445996,218.35844702469674,32,13,19,669.9375
12365,8,0.34375,0.9283620723948676,0.2255859375,0.3459420748986304,207.006245136261,0.3220710767941041,193.00078166614878,0.3584459310486203,214.34244028727213,32,11,21,638.625
12365,9,0.65625,0.9283620723948676,0.2255859375,0.32563053956255317,208.2913317680359,0.3080319818996248,198.83006431942894,0.3592277860099619,226.35375144264916,32,21,11,690.5625
12365,10,0.5,1.0,0.25,0.2683009169995785,176.89013290405273,0.23486230336129665,160.163405418396,0.3017395306378603,193.61686038970947,32,16,16,677.875
12365,11,0.71875,0.8571484374283715,0.2021484375,0.29316586814820766,193.12203288078308,0.28814258782759955,193.3303687054178,0.3060031400786506,192.58961910671658,32,23,9,679.34375
12365,12,0.5625,0.9886994082884974,0.24609375,0.30410562083125114,189.53910970687866,0.2850104322036107,178.5762833489312,0.3286565776382174,203.6341721670968,32,18,14,669.8125
12365,13,0.5625,0.9886994082884974,0.24609375,0.2737732967361808,175.40688824653625,0.24617825200160345,164.44026480780707,0.30925263996635166,189.50683266775948,32,18,14,669.0
12365,14,0.46875,0.9971803988942642,0.2490234375,0.30431773280724883,200.00390219688416,0.2655175805091858,186.2053461710612,0.33855316130553975,212.17909869025735,32,15,17,688.0
12365,15,0.75,0.8112781244591328,0.1875,0.2505037628579885,165.08112740516663,0.25442163180559874,169.71955935160318,0.2387501560151577,151.16583156585693,32,24,8,701.625
12365,16,0.4375,0.9886994082884974,0.24609375,0.24047312187030911,169.86354279518127,0.21411763025181635,151.40755789620536,0.2609718375735813,184.218197716607,32,14,18,724.8125
12403,1,0.0,0.0,0.0,0.9615700514987111,551.0385823249817,0.0,0.0,0.9615700514987111,551.0385823249817,32,0,32,592.34375
12403,2,0.0,0.0,0.0,0.9391046478413045,587.0776386260986,0.0,0.0,0.9391046478413045,587.0776386260986,32,0,32,663.96875
12403,3,0.0,0.0,0.0,0.9734290214255452,570.5510077476501,0.0,0.0,0.9734290214255452,570.5510077476501,32,0,32,592.96875
12403,4,0.0,0.0,0.0,1.0488916086032987,635.9308595657349,0.0,0.0,1.0488916086032987,635.9308595657349,32,0,32,610.875
12403,5,0.0,0.0,0.0,0.9808395020663738,588.3926019668579,0.0,0.0,0.9808395020663738,588.3926019668579,32,0,32,602.71875
12403,6,0.0,0.0,0.0,0.9474993413314223,549.3685445785522,0.0,0.0,0.9474993413314223,549.3685445785522,32,0,32,592.84375
12403,7,0.0,0.0,0.0,0.9310687929391861,553.9711904525757,0.0,0.0,0.9310687929391861,553.9711904525757,32,0,32,588.09375
12403,8,0.0,0.0,0.0,1.0445619951933622,617.7893228530884,0.0,0.0,1.0445619951933622,617.7893228530884,32,0,32,594.75
12403,9,0.0,0.0,0.0,0.933665219694376,561.9138689041138,0.0,0.0,0.933665219694376,561.9138689041138,32,0,32,617.21875
12403,10,0.0,0.0,0.0,1.0571249425411224,621.5843372344971,0.0,0.0,1.0571249425411224,621.5843372344971,32,0,32,595.3125
12403,11,0.0,0.0,0.0,0.9595872657373548,602.3680229187012,0.0,0.0,0.9595872657373548,602.3680229187012,32,0,32,636.78125
12403,12,0.0,0.0,0.0,0.8648809948936105,540.7974653244019,0.0,0.0,0.8648809948936105,540.7974653244019,32,0,32,668.34375
12403,13,0.0,0.0,0.0,0.9719646889716387,561.7160520553589,0.0,0.0,0.9719646889716387,561.7160520553589,32,0,32,577.0
12403,14,0.0,0.0,0.0,0.936838916502893,555.6548690795898,0.0,0.0,0.936838916502893,555.6548690795898,32,0,32,617.8125
12403,15,0.0,0.0,0.0,1.0482553439214826,635.2839970588684,0.0,0.0,1.0482553439214826,635.2839970588684,32,0,32,614.5625
12403,16,0.0,0.0,0.0,0.9247585432603955,537.3769464492798,0.0,0.0,0.9247585432603955,537.3769464492798,32,0,32,583.125
