source_problem,target_problem,initial_step,final_step,target_p_initial,target_p_final,target_n_initial,target_n_final,target_success_initial,target_success_final,delta_p,positive_delta_p,delta_p_permutation_p_value,delta_p_significant_0p05,target_H_initial_bits,target_H_final_bits,target_H_drop_bits,target_var_initial,target_var_final,target_var_drop,source_num_steps,source_p_start,source_p_final,source_p_max,source_H_start_bits,source_H_final_bits,source_H_drop_bits,source_H_sum_bits,source_H_mean_bits,source_H_max_bits,source_var_start,source_var_final,source_var_drop,source_var_sum,source_var_mean,source_var_max,info_weighted_delta_bits,info_weighted_positive_bits,var_weighted_delta,var_weighted_positive,info_dir,validation_dir,has_target_initial,has_target_final,target_p_common_initial,delta_p_vs_common_initial,positive_delta_p_vs_common_initial,target_H_common_initial_bits,target_H_drop_common_bits,target_var_common_initial,target_var_drop_common,info_weighted_delta_common_bits,info_weighted_positive_common_bits,var_weighted_delta_common,var_weighted_positive_common,R_info_weighted_positive,R_variance_weighted_positive,R_info_weighted_positive_common,R_variance_weighted_positive_common
13162,12365,0,16,0.15625,0.71875,32,32,5,23,0.5625,0.5625,1.0804262236275538e-05,True,0.6252624052234231,0.8571484374283715,-0.2318860322049484,0.1318359375,0.2021484375,-0.0703125,16,0.59375,0.625,0.75,0.9744894033980523,0.954434002924965,0.0200554004730872,15.06308856757451,0.9414430354734068,1.0,0.2412109375,0.234375,0.0068359375,3.68359375,0.230224609375,0.25,8.472987319260662,8.472987319260662,2.072021484375,2.072021484375,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_13162/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_13162_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_13162/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_13162_rollout32_step16/validation,True,True,0.17578125,0.54296875,0.54296875,0.670760475968549,-0.1863879614598225,0.1448822021484375,-0.0572662353515625,8.178786370675223,8.178786370675223,2.0000762939453125,2.0000762939453125,9.0,9.0,3.492462311557789,3.492462311557789
9857,12365,0,16,0.15625,0.6875,32,32,5,22,0.53125,0.53125,3.319893054433905e-05,True,0.6252624052234231,0.8960382325345574,-0.2707758273111342,0.1318359375,0.21484375,-0.0830078125,16,0.75,0.96875,1.0,0.8112781244591328,0.2006223243127146,0.6106558001464182,4.699543387612984,0.2937214617258115,0.8112781244591328,0.1875,0.0302734375,0.1572265625,0.876953125,0.0548095703125,0.1875,2.4966324246693974,2.4966324246693974,0.46588134765625,0.46588134765625,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_9857/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_9857_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_9857/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_9857_rollout32_step16/validation,True,True,0.17578125,0.51171875,0.51171875,0.670760475968549,-0.2252777565660083,0.1448822021484375,-0.0699615478515625,2.404844467880081,2.404844467880081,0.4487533569335937,0.4487533569335937,2.125,2.125,2.0926517571884986,2.0926517571884986
12365,12365,0,16,0.15625,0.6875,32,32,5,22,0.53125,0.53125,3.319893054433905e-05,True,0.6252624052234231,0.8960382325345574,-0.2707758273111342,0.1318359375,0.21484375,-0.0830078125,16,0.1875,0.4375,0.75,0.6962122601251458,0.9886994082884974,-0.2924871481633516,14.54157371129917,0.908848356956198,1.0,0.15234375,0.24609375,-0.09375,3.521484375,0.2200927734375,0.25,7.725211034127684,7.725211034127684,1.87078857421875,1.87078857421875,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_12365/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_12365_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_12365/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_12365_rollout32_step16/validation,True,True,0.17578125,0.51171875,0.51171875,0.670760475968549,-0.2252777565660083,0.1448822021484375,-0.0699615478515625,7.441195922578872,7.441195922578872,1.8020095825195312,1.8020095825195312,1.0,1.0,1.0,1.0
3689,12365,0,16,0.0625,0.53125,32,32,2,17,0.46875,0.46875,6.789814666104432e-05,True,0.3372900666170139,0.9971803988942642,-0.6598903322772504,0.05859375,0.2490234375,-0.1904296875,16,0.4375,0.71875,0.78125,0.9886994082884974,0.8571484374283715,0.1315509708601259,14.488545789713076,0.9055341118570672,0.9971803988942642,0.24609375,0.2021484375,0.0439453125,3.4951171875,0.21844482421875,0.2490234375,6.791505838928005,6.791505838928005,1.638336181640625,1.638336181640625,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_3689/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_3689_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_3689/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_3689_rollout32_step16/validation,True,True,0.17578125,0.35546875,0.35546875,0.670760475968549,-0.3264199229257152,0.1448822021484375,-0.1041412353515625,5.150225261187071,5.150225261187071,1.2424049377441406,1.2424049377441406,1.6666666666666663,1.6666666666666667,1.798418972332016,1.798418972332016
15543,8993,0,16,0.625,0.875,32,32,20,28,0.25,0.25,0.0413284061991655,True,0.954434002924965,0.5435644431995964,0.4108695597253686,0.234375,0.109375,0.125,16,0.25,0.375,0.5,0.8112781244591328,0.954434002924965,-0.1431558784658322,14.974434953541548,0.9359021845963468,1.0,0.1875,0.234375,-0.046875,3.65625,0.228515625,0.25,3.743608738385386,3.743608738385386,0.9140625,0.9140625,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_15543/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_15543_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_15543/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_15543_rollout32_step16/validation,True,True,0.53125,0.34375,0.34375,0.9971803988942642,0.4536159556946678,0.2490234375,0.1396484375,5.147462015279906,5.147462015279906,1.2568359375,1.2568359375,,,,
13162,8993,0,16,0.53125,0.875,32,32,17,28,0.34375,0.34375,0.0054176857032235,True,0.9971803988942642,0.5435644431995964,0.4536159556946678,0.2490234375,0.109375,0.1396484375,16,0.59375,0.625,0.75,0.9744894033980523,0.954434002924965,0.0200554004730872,15.06308856757451,0.9414430354734068,1.0,0.2412109375,0.234375,0.0068359375,3.68359375,0.230224609375,0.25,5.177936695103738,5.177936695103738,1.2662353515625,1.2662353515625,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_13162/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_13162_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_13162/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_13162_rollout32_step16/validation,True,True,0.53125,0.34375,0.34375,0.9971803988942642,0.4536159556946678,0.2490234375,0.1396484375,5.177936695103738,5.177936695103738,1.2662353515625,1.2662353515625,5.5,5.5,2.21105527638191,2.21105527638191
12365,13162,0,16,0.4375,0.78125,32,32,14,25,0.34375,0.34375,0.0097347980190389,True,0.9886994082884974,0.7578784625383954,0.230820945750102,0.24609375,0.1708984375,0.0751953125,16,0.1875,0.4375,0.75,0.6962122601251458,0.9886994082884974,-0.2924871481633516,14.54157371129917,0.908848356956198,1.0,0.15234375,0.24609375,-0.09375,3.521484375,0.2200927734375,0.25,4.99866596325909,4.99866596325909,1.21051025390625,1.21051025390625,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_12365/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_12365_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_12365/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_12365_rollout32_step16/validation,True,True,0.43828125,0.34296875,0.34296875,0.988980877342528,0.2311024148041326,0.2461907958984375,0.0752923583984375,4.987305358797137,4.987305358797137,1.2077590942382812,1.2077590942382812,0.6470588235294118,0.6470588235294118,0.6702290076335877,0.6702290076335877
13162,9857,0,16,0.8125,1.0,32,32,26,32,0.1875,0.1875,0.0241733814948581,True,0.6962122601251458,0.0,0.6962122601251458,0.15234375,0.0,0.15234375,16,0.59375,0.625,0.75,0.9744894033980523,0.954434002924965,0.0200554004730872,15.06308856757451,0.9414430354734068,1.0,0.2412109375,0.234375,0.0068359375,3.68359375,0.230224609375,0.25,2.8243291064202207,2.8243291064202207,0.690673828125,0.690673828125,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_13162/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_13162_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_13162/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_13162_rollout32_step16/validation,True,True,0.66171875,0.33828125,0.33828125,0.923164475409984,0.923164475409984,0.2238470458984374,0.2238470458984374,5.095560429499814,5.095560429499814,1.246090698242187,1.246090698242187,3.0,3.0,2.1758793969849246,2.1758793969849246
13784,12365,0,16,0.0625,0.5,32,32,2,16,0.4375,0.4375,0.0001758677411939,True,0.3372900666170139,1.0,-0.6627099333829861,0.05859375,0.25,-0.19140625,16,0.0,0.15625,0.15625,0.0,0.6252624052234231,-0.6252624052234231,6.3453830480074105,0.3965864405004631,0.6252624052234231,0.0,0.1318359375,-0.1318359375,1.2041015625,0.07525634765625,0.1318359375,2.776105083503242,2.776105083503242,0.52679443359375,0.52679443359375,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_13784/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_13784_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_13784/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_13784_rollout32_step16/validation,True,True,0.17578125,0.32421875,0.32421875,0.670760475968549,-0.3292395240314509,0.1448822021484375,-0.1051177978515625,2.0572921600961527,2.0572921600961527,0.3903923034667969,0.3903923034667969,,,,
8993,9857,0,16,0.65625,0.96875,32,32,21,31,0.3125,0.3125,0.0026518218775087,True,0.9283620723948676,0.2006223243127146,0.7277397480821529,0.2255859375,0.0302734375,0.1953125,16,0.5625,0.71875,0.875,0.9886994082884974,0.8571484374283715,0.1315509708601259,12.404615853586712,0.7752884908491695,0.9886994082884974,0.24609375,0.2021484375,0.0439453125,2.8466796875,0.17791748046875,0.24609375,3.876442454245848,3.876442454245848,0.88958740234375,0.88958740234375,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_8993/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_8993_rollout32_step16/info_metrics,/mnt/shared-storage-user/safewt-share/sunyoubang/verl-agent-run-logs/qwen25-geometry40-20260607_180845/isolated40/runs/problem_8993/verl_run/ckpts/DAPO-InfoGain/qwen25_7b_geometry40_problem_8993_rollout32_step16/validation,True,True,0.66171875,0.30703125,0.30703125,0.923164475409984,0.7225421510972695,0.2238470458984374,0.1935736083984374,3.808604711296545,3.808604711296545,0.8740196228027343,0.8740196228027343,1.25,1.25,1.228125,1.228125
