pair,problem_id,status,start_step,end_step,start_p,end_p,start_entropy,end_entropy,start_I,end_I,delta_p,delta_entropy,delta_I,corr_p_entropy,corr_p_I,corr_entropy_I,slope_p_per_step,slope_entropy_per_step,slope_I_per_step,single_final_p,single_final_entropy,single_final_I
2767+9078,2767,stopped,1,22,0.0625,0.34375,0.2743515805341303,0.2219754229299724,0.2337916587064593,10.726599147233152,0.28125,-0.05237615760415787,10.492807488526692,-0.855845711726069,0.8299624754086998,-0.9061950153037329,0.013481084133258051,-0.002697263955796495,0.5005021908994461,1.0,0.0850146020529791,14.531532706341425
2767+9078,9078,stopped,1,22,0.0,0.0,0.2179629157762974,0.2805045472923666,0.0,1.0238265112318832,0.0,0.06254163151606923,1.0238265112318832,-0.045135747509509466,-0.034594998309284475,0.5174751982747631,-0.0005646527385657814,0.0014621929238213323,0.05086204798734354,1.0,0.0001411437988281,1.235393342920466
8785+9003,8785,succeeded,1,40,0.0625,1.0,0.2157925316132605,0.054876365698874,0.2337916587064593,5.6184198051206575,0.9375,-0.1609161659143865,5.384628146414198,-0.9661243157685269,0.9785441092513657,-0.9872106522258468,0.016618785178236402,-0.002419411921397547,0.09614412960338078,0.984375,0.1079452489502728,13.743977771386954
8785+9003,9003,succeeded,1,40,0.34375,0.96875,0.2182735037058591,0.0510590018238872,0.6434915530192904,9.16595280397423,0.625,-0.1672145018819719,8.52246125095494,-0.8629696356440935,0.928441914892647,-0.9640209926111978,0.012813672607879925,-0.0027778211396906577,0.16504944174425296,1.0,0.075435969280079,11.96317932432812
9003+9483,9003,succeeded,1,40,0.25,1.0,0.2212026985362172,0.1616294106934219,0.5623351446188083,15.410122531809924,0.75,-0.05957328784279531,14.847787387191115,-0.8944221361298939,0.9343838385936737,-0.9060900027359703,0.01689141651031895,-0.0015035463408366082,0.3867161402634746,1.0,0.075435969280079,11.96317932432812
9003+9483,9483,succeeded,1,40,0.0,0.0,0.3087964109145105,0.2587264189496636,0.0,0.0,0.0,-0.050069991964846905,0.0,,,,0.0,-0.0008595105233963949,0.0,0.0,0.3671391105744988,0.1892089805381669
9793+2767,2767,succeeded,1,40,0.03125,0.96875,0.2851730394177139,0.2453870275057852,0.1390607984547411,16.21031319888242,0.9375,-0.03978601191192868,16.07125240042768,-0.4540049637020944,0.985013313554899,-0.5083842325334244,0.02588531894934334,-0.0011967461557943566,0.45547471862624056,1.0,0.0850146020529791,14.531532706341425
9793+2767,9793,succeeded,1,40,0.0,0.84375,0.2296595266088843,0.1134809439536184,0.0,19.47555241577669,0.84375,-0.11617858265526591,19.47555241577669,-0.9426329156390391,0.9393149197613473,-0.9223772250148145,0.0206203095684803,-0.002694753292636986,0.5172430641624903,0.984375,0.0608614056836813,15.282013792808192
9793+9483,9483,succeeded,1,40,0.09375,0.0,0.3235510657541454,0.2183504840359091,0.3111291548118492,0.3111291548118492,-0.09375,-0.10520058171823629,0.0,0.18407111975522708,,,-0.0003429878048780492,-0.0038273016288553298,2.2328758999718063e-18,0.0,0.3671391105744988,0.1892089805381669
9793+9483,9793,succeeded,1,40,0.125,1.0,0.2190126103814691,0.0532717263558879,0.3767701612564367,9.43383082531289,0.875,-0.1657408840255812,9.057060664056454,-0.8842882223927173,0.9750924980825273,-0.9117904544475254,0.02452216228893058,-0.005128105494137383,0.23163207465983773,0.984375,0.0608614056836813,15.282013792808192
